"vol" "age" "owner" "nuts" "species" "step0" "step1" "step2" "step3" "step4" "step5"
"6033" "3" "13" "communal" "DE1" "beech" 385.466555775241 379.108465787722 1074.84071270422 185.800967154182 976.197605825157 935.560368627305
"7905" "4" "13" "communal" "DE1" "beech" 436.776106717802 981.545740398775 1028.38752126386 1484.63477590544 1687.39252669899 28.1745012255934
"9777" "5" "13" "communal" "DE1" "beech" 1471.17755068823 1310.14203600377 1241.76867779972 1849.17777237394 2472.69112296458 697.68807864451
"11649" "6" "13" "communal" "DE1" "beech" 649.070854623611 878.056043341807 1778.8534311454 2162.17056342507 2228.45339503405 542.581365325496
"13521" "7" "13" "communal" "DE1" "beech" 949.256057048356 531.508011068728 904.058859095673 1593.5428305629 1944.16171769034 1054.48119493823
"15393" "8" "13" "communal" "DE1" "beech" 262.434071815513 325.749146058857 1119.87404997197 1128.70528811379 925.842375302511 3093.55555630307
"17265" "9" "13" "communal" "DE1" "beech" 369.197348045549 192.873150853385 795.12116856062 691.027097685001 667.284108702941 1097.09682953876
"2289" "10" "13" "communal" "DE1" "beech" 943.372785360534 840.490605908511 700.608296350602 781.342861298453 840.131367680475 459.47515370921
"521" "1" "14" "communal" "DE1" "beech" 0 0 0 0 0 0
"4265" "2" "14" "communal" "DE1" "beech" 0 180.043460257953 180.043470989379 216.963798258105 42.030986701675 494.301860355324
"6137" "3" "14" "communal" "DE1" "beech" 176.189177215936 346.919900197717 341.19761920895 967.356641433798 167.220870438764 878.577845242641
"8009" "4" "14" "communal" "DE1" "beech" 900.794886039793 393.098496046022 883.391166358898 925.548769137474 1336.1712983149 1518.65327402909
"9881" "5" "14" "communal" "DE1" "beech" 1234.12178522374 1324.05979561941 1179.12783240339 1117.59181001975 1664.25999513655 2225.42201066812
"11753" "6" "14" "communal" "DE1" "beech" 1408.3332499656 584.16376916125 790.250439007626 1600.96808803086 1945.95350708256 2005.60805553065
"13625" "7" "14" "communal" "DE1" "beech" 1164.53783864464 854.33045134352 478.357209961855 813.652973186106 1434.18854750661 1749.74554592131
"15497" "8" "14" "communal" "DE1" "beech" 920.830841608933 236.190664633962 293.174231452971 1007.88664497477 1015.83475930241 833.25813777226
"17369" "9" "14" "communal" "DE1" "beech" 344.693041113333 332.277613240994 173.585835768047 715.609051704558 621.924387916501 600.555697832647
"2393" "10" "14" "communal" "DE1" "beech" 861.018770277551 849.035506824481 756.44154531766 630.547466715542 703.208575168608 756.118230912428
"625" "1" "15" "communal" "DE1" "beech" 0 0 0 0 0 0
