"vol" "age" "owner" "nuts" "species" "step0.nomgmt" "step0.finalfell" "step1.nomgmt" "step1.finalfell" "step2.nomgmt" "step2.finalfell" "step3.nomgmt" "step3.finalfell" "step4.nomgmt" "step4.finalfell" "step5.nomgmt" "step5.finalfell"
"9049" "4" "7" "communal" "DE1" "beech" 1440.62520480129 0 42.1254682362496 0 25.9855840220188 0 39.1582936526419 0 10.0572804071279 0 10.8742160509376 0
"10921" "5" "7" "communal" "DE1" "beech" 2549.92548485945 0 44.8069544231042 0 67.0932430447255 0 54.1751459436494 0 12.27368635943 0 11.7114240522315 0
"12793" "6" "7" "communal" "DE1" "beech" 2017.70287704342 0 2867.08561309122 0 3933.26700854129 0 3034.83825158466 0 1226.73090591216 0 963.982998621799 0
"14665" "7" "7" "communal" "DE1" "beech" 1132.32482761032 0 629.048284273306 0 17.6413017955508 0 5.08706947962083 0 0 0 0.00466601519752431 0
"16537" "8" "7" "communal" "DE1" "beech" 717.017988141178 0 210.540330333726 0 278.920715952014 0 122.932029186785 0 11.6710625440357 0 6.02112597323489 0
"18409" "9" "7" "communal" "DE1" "beech" 425.330700534717 0 135.196139301311 0 949.678194892106 0 276.416781494556 0 22.8467002413804 0 0.242632790271264 0
"3433" "10" "7" "communal" "DE1" "beech" 325.712867875408 0 1289.84542223698 0 1107.77355171632 0 495.930707848769 0 1312.60097828687 0 803.212289825505 0
"1665" "1" "8" "communal" "DE1" "beech" 0 0 0.840539030149168 0 0 0 0.0017770381187086 0 0.00212832430040949 0 0.0217497659043841 0
"5409" "2" "8" "communal" "DE1" "beech" 206.09444044249 0 749.799904089011 0 457.940619783652 0 365.985081336534 0 299.546083378574 0 311.176061759239 0
"7281" "3" "8" "communal" "DE1" "beech" 886.628489407559 0 23.800000472724 0 25.6955518931393 0 14.2248224340683 0 31.9600495286094 0 41.946909146066 0
"9153" "4" "8" "communal" "DE1" "beech" 1381.76174462189 0 2678.22522938294 0 1378.2941666795 0 765.676350593568 0 1701.08086914033 0 2191.29655600256 0
"11025" "5" "8" "communal" "DE1" "beech" 1729.29845129394 0 3095.27361040387 0 756.955774746703 0 576.630729649328 0 346.437084743738 0 516.834460508162 0
"12897" "6" "8" "communal" "DE1" "beech" 1754.84719505481 0 2017.70287704342 0 2867.08561309122 0 3933.26700854129 0 3034.83825158466 0 1226.73090591216 0
"14769" "7" "8" "communal" "DE1" "beech" 1054.48119493823 0 1132.32482761032 0 629.048284273306 0 17.6413017955508 0 5.08706947962083 0 0 0
"16641" "8" "8" "communal" "DE1" "beech" 1031.17131403299 0 717.017988141178 0 210.540330333726 0 278.920715952014 0 122.932029186785 0 11.6710625440357 0
"18513" "9" "8" "communal" "DE1" "beech" 228.029647225898 0 425.330700534717 0 135.196139301311 0 949.678194892106 0 276.416781494556 0 22.8467002413804 0
"3537" "10" "8" "communal" "DE1" "beech" 459.47515370921 0 325.712867875408 0 1289.84542223698 0 1107.77355171632 0 495.930707848769 0 1312.60097828687 0
"1769" "1" "9" "communal" "DE1" "beech" 0 0 0 0 0.840539030149168 0 0 0 0.0017770381187086 0 0.00212832430040949 0
"5513" "2" "9" "communal" "DE1" "beech" 406.997192623917 0 92.4729581864694 0 336.429333223037 0 205.474362599104 0 164.214634080577 0 134.403977049139 0
"7385" "3" "9" "communal" "DE1" "beech" 976.197605825157 0 935.560368627305 0 201.820903254421 0 134.421896228091 0 101.118664682984 0 103.079642765373 0
"9257" "4" "9" "communal" "DE1" "beech" 1687.39252669899 0 28.1745012255934 0 91.2643641431622 0 54.5080132146799 0 41.9557248775953 0 39.4799806121041 0
"11129" "5" "9" "communal" "DE1" "beech" 2472.69112296458 0 697.68807864451 0 1350.80639256612 0 690.27637083159 0 384.378523222606 0 848.49681097689 0
"13001" "6" "9" "communal" "DE1" "beech" 2228.45339503405 0 542.581365325496 0 960.469011683628 0 257.490959061854 0 212.809381361509 0 134.252510371584 0
"14873" "7" "9" "communal" "DE1" "beech" 1944.16171769034 0 1054.48119493823 0 1132.32482761032 0 629.048284273306 0 17.6413017955508 0 5.08706947962083 0
"16745" "8" "9" "communal" "DE1" "beech" 925.842375302511 0 3093.55555630307 0 3852.18111905591 0 2152.77409924037 0 2624.73330187818 0 1864.9613922091 0
"18617" "9" "9" "communal" "DE1" "beech" 667.284108702941 0 1097.09682953876 0 1424.57403011812 0 1555.08615721315 0 2897.58185626494 0 1779.38429656505 0
"3641" "10" "9" "communal" "DE1" "beech" 840.131367680475 0 459.47515370921 0 325.712867875408 0 1289.84542223698 0 1107.77355171632 0 495.930707848769 0
"105" "1" "10" "communal" "DE1" "beech" 0 0 0 0 0 0 0.840539030149168 0 0 0 0.0017770381187086 0
"3849" "2" "10" "communal" "DE1" "beech" 46.7010963351944 0 549.224289283693 0 713.02951516347 0 512.741575492441 0 294.218837491508 0 506.124723044737 0
"5721" "3" "10" "communal" "DE1" "beech" 185.800967154182 0 976.197605825157 0 935.560368627305 0 201.820903254421 0 134.421896228091 0 101.118664682984 0
"7593" "4" "10" "communal" "DE1" "beech" 1484.63477590544 0 1687.39252669899 0 28.1745012255934 0 91.2643641431622 0 54.5080132146799 0 41.9557248775953 0
"9465" "5" "10" "communal" "DE1" "beech" 1849.17777237394 0 2472.69112296458 0 697.68807864451 0 1350.80639256612 0 690.27637083159 0 384.378523222606 0
"11337" "6" "10" "communal" "DE1" "beech" 2162.17056342507 0 2228.45339503405 0 542.581365325496 0 960.469011683628 0 257.490959061854 0 212.809381361509 0
"13209" "7" "10" "communal" "DE1" "beech" 1593.5428305629 0 1944.16171769034 0 1054.48119493823 0 1132.32482761032 0 629.048284273306 0 17.6413017955508 0
"15081" "8" "10" "communal" "DE1" "beech" 1128.70528811379 0 925.842375302511 0 3093.55555630307 0 3852.18111905591 0 2152.77409924037 0 2624.73330187818 0
"16953" "9" "10" "communal" "DE1" "beech" 691.027097685001 0 667.284108702941 0 1097.09682953876 0 1424.57403011812 0 1555.08615721315 0 2897.58185626494 0
