vol age owner nuts species area
1 4 national DEB beech 0
1 4 national DEB spruce 0
1 4 national DEC beech 0
1 4 national DEC spruce 0
1 4 national DED beech 0
1 4 national DED spruce 0
1 4 national DEE beech 0
1 4 national DEE spruce 0
1 4 national DEF beech 0
1 4 national DEF spruce 0
1 4 national DEG beech 0
1 4 national DEG spruce 0
1 4 private DE1 beech 0
1 4 private DE1 spruce 500.12071101495
1 4 private DE2 beech 399.603301424587
1 4 private DE2 spruce 212.858985532765
1 4 private DE3_4 beech 395.072644417638
1 4 private DE3_4 spruce 0
1 4 private DE7 beech 0
1 4 private DE7 spruce 0
1 4 private DE8 beech 199.948581620586
1 4 private DE8 spruce 0
1 4 private DE9_5_6 beech 0
1 4 private DE9_5_6 spruce 0
1 4 private DEA beech 0
1 4 private DEA spruce 398.361941117895
1 4 private DEB beech 99.577855430887
1 4 private DEB spruce 0
1 4 private DEC beech 0
1 4 private DEC spruce 0
1 4 private DED beech 0
1 4 private DED spruce 199.445623916811
1 4 private DEE beech 0
1 4 private DEE spruce 0
1 4 private DEF beech 0
1 4 private DEF spruce 0
1 4 private DEG beech 0
1 4 private DEG spruce 96.2007351101623
1 5 communal DE1 beech 100.024144587751
1 5 communal DE1 spruce 500.120734862565
1 5 communal DE2 beech 0
1 5 communal DE2 spruce 0
1 5 communal DE3_4 beech 0
1 5 communal DE3_4 spruce 0
1 5 communal DE7 beech 0
1 5 communal DE7 spruce 0
1 5 communal DE8 beech 0
1 5 communal DE8 spruce 0
1 5 communal DE9_5_6 beech 0
1 5 communal DE9_5_6 spruce 0
1 5 communal DEA beech 0
1 5 communal DEA spruce 0
1 5 communal DEB beech 99.577843560283
1 5 communal DEB spruce 199.15569899117
1 5 communal DEC beech 0
1 5 communal DEC spruce 0
1 5 communal DED beech 0
1 5 communal DED spruce 0
1 5 communal DEE beech 0
1 5 communal DEE spruce 0
1 5 communal DEF beech 0
1 5 communal DEF spruce 0
1 5 communal DEG beech 0
1 5 communal DEG spruce 0
1 5 land DE1 beech 0
1 5 land DE1 spruce 100.024144587751
1 5 land DE2 beech 399.603301424587
1 5 land DE2 spruce 399.603301424587
1 5 land DE3_4 beech 0
1 5 land DE3_4 spruce 0
1 5 land DE7 beech 0
1 5 land DE7 spruce 0
1 5 land DE8 beech 0
1 5 land DE8 spruce 0
1 5 land DE9_5_6 beech 0
1 5 land DE9_5_6 spruce 0
1 5 land DEA beech 0
1 5 land DEA spruce 0
1 5 land DEB beech 0
1 5 land DEB spruce 0
1 5 land DEC beech 0
1 5 land DEC spruce 0
1 5 land DED beech 0
1 5 land DED spruce 0
1 5 land DEE beech 0
1 5 land DEE spruce 0
1 5 land DEF beech 0
1 5 land DEF spruce 99.5505050505051
1 5 land DEG beech 0
1 5 land DEG spruce 200.194405789034
1 5 national DE1 beech 0
1 5 national DE1 spruce 0
1 5 national DE2 beech 0
1 5 national DE2 spruce 199.801592039801
1 5 national DE3_4 beech 0
1 5 national DE3_4 spruce 0
1 5 national DE7 beech 0
1 5 national DE7 spruce 0
1 5 national DE8 beech 0
1 5 national DE8 spruce 0
1 5 national DE9_5_6 beech 0
1 5 national DE9_5_6 spruce 0
1 5 national DEA beech 0
1 5 national DEA spruce 0
1 5 national DEB beech 0
1 5 national DEB spruce 0
1 5 national DEC beech 0
1 5 national DEC spruce 0
1 5 national DED beech 0
1 5 national DED spruce 0
1 5 national DEE beech 0
1 5 national DEE spruce 0
1 5 national DEF beech 0
1 5 national DEF spruce 0
1 5 national DEG beech 0
1 5 national DEG spruce 0
1 5 private DE1 beech 0
1 5 private DE1 spruce 400.096578351006
1 5 private DE2 beech 0
1 5 private DE2 spruce 799.206602849175
1 5 private DE3_4 beech 0
1 5 private DE3_4 spruce 0
1 5 private DE7 beech 0
1 5 private DE7 spruce 0
1 5 private DE8 beech 0
1 5 private DE8 spruce 0
1 5 private DE9_5_6 beech 0
1 5 private DE9_5_6 spruce 0
1 5 private DEA beech 0
1 5 private DEA spruce 0
1 5 private DEB beech 0
1 5 private DEB spruce 238.656869829819
