"vol" "age" "siteclass" "species" "step0.nomgmt" "step0.finalfell" "step0.thin" "step1.nomgmt" "step1.finalfell" "step1.thin" "step2.nomgmt" "step2.finalfell" "step2.thin" "step3.nomgmt" "step3.finalfell" "step3.thin" "step4.nomgmt" "step4.finalfell" "step4.thin" "step5.nomgmt" "step5.finalfell" "step5.thin" "step6.nomgmt" "step6.finalfell" "step6.thin"
"2643" "7" "5" "I" "manty" 17973.2908966962 0 48579.3384668924 18454.0335826461 0 49878.7199652768 13447.8502077743 0 36347.6933996336 3206.33184435815 0 8666.27490755642 12217.969600253 0 33023.4949181175 8268.88822973161 0 22349.6699834127 3985.03475183875 0 10771.0019898186
"2943" "8" "5" "I" "manty" 3887.55577571004 0 38003.8344297949 3476.32625807799 0 33983.7510143027 2373.0240725738 0 23198.1273466206 440.210474008402 0 4303.39445494418 1627.86166138843 0 15913.5942024439 1099.87719972594 0 10752.1418091697 530.065075484182 0 5181.79198651838
"3243" "9" "5" "I" "manty" 0 0 15120.4155421042 0 0 19787.6436785037 0 0 12470.2699816686 0 0 1399.89742993876 0 0 4724.53108667436 0 0 3176.09052873756 0 0 1530.65693722842
"543" "10" "5" "I" "manty" 0 0 1292.83865928224 0 0 5100.87606301825 0 0 3943.5874645008 0 0 277.966602467658 0 0 870.22256595349 0 0 582.200281800824 0 0 280.580446977683
"843" "11" "5" "I" "manty" 0 0 868.767152099667 0 0 2033.34887188419 0 0 1318.88406384633 0 0 82.4702911656326 0 0 229.914561352173 0 0 152.8161114998 0 0 73.6468432089734
"255" "1" "6" "I" "manty" 0 0 0 0 0 0 0.70935381667591 0 0 7.90915607686839 0 0 53.8372208070075 0 0 272.252192067456 0 0 186.875195514546 0 0
"1155" "2" "6" "I" "manty" 667.607462732436 20.7071899882122 27.407513405045 2.24881741178913 0.0697516010443103 0.09232145654401 7.77001204966035 0.241002572176906 0.318984914483762 42.4260364264627 1.31592896390625 1.74173032356774 222.837345164353 6.91174904471731 9.14821637813893 1105.4868527388 34.2889011387631 45.3839230788867 758.259286367339 23.5189388669663 31.1290731690663
"1455" "3" "6" "I" "manty" 424.827740912451 8.69902647308117 10.578649327386 80.3729618270788 1.64576475432612 2.00136972398718 83.7038473016209 1.71396995406098 2.08431221100364 251.642945751965 5.15279120463932 6.26616913740822 943.414124841943 19.3179109006679 23.4919856593414 4551.3610330308 93.1963859748139 113.333588403033 3118.3743600698 63.8536952717856 77.6507408763789
"1755" "4" "6" "I" "manty" 1973.92252379336 5.43929300988142 61.1765938242063 665.755555839676 1.83453985529756 20.6333616111451 486.873209198609 1.34161600142405 15.0893686069257 1040.86104922517 2.86817145103968 32.2587806098469 2893.32702383466 7.97278174109957 89.6711446392423 13564.2148660122 37.3772213528648 420.387554931795 9282.6391571662 25.5790152208179 287.691253577325
"2055" "5" "6" "I" "manty" 13903.9426170386 89.3986752152197 1527.74750018705 4393.78591576256 28.2508818446293 482.783598440442 2480.43359415628 15.9485322533737 272.546883083969 3482.58852379173 22.3921235092827 382.66238993844 6179.16464304013 39.7303950569792 678.958738299182 28040.5975214506 180.29362891565 3081.06513001933 19161.6672600334 123.204454674791 2105.45958525878
