"vol" "age" "siteclass" "species" "step0.nomgmt" "step0.finalfell" "step0.thin" "step1.nomgmt" "step1.finalfell" "step1.thin" "step2.nomgmt" "step2.finalfell" "step2.thin" "step3.nomgmt" "step3.finalfell" "step3.thin" "step4.nomgmt" "step4.finalfell" "step4.thin"
"8673" "9" "9" "SE11" "BT" 0 0 0 163.428408 0 46.095192 166.172718267516 0 46.8692282292994 346.856722936709 0 97.8313833924051 344.661427221919 0 97.212197421567
"993" "10" "9" "SE11" "BT" 297.7148 0 94.0152 550.186892942675 0 173.743229350318 546.682517828391 0 172.636584577387 1141.10492141966 0 360.348922553576 1133.8827383727 0 358.068233170325
"1505" "11" "9" "SE11" "BT" 0 0 0 14.0054455031847 0 4.92083220382166 13.9162388439288 0 4.88948932354254 29.0477344977828 0 10.2059607694913 28.8638880769108 0 10.1413660810768
"2017" "12" "9" "SE11" "BT" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"2529" "13" "9" "SE11" "BT" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"3041" "14" "9" "SE11" "BT" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"3553" "15" "9" "SE11" "BT" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"4065" "16" "9" "SE11" "BT" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"4577" "17" "9" "SE11" "BT" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"33" "1" "10" "SE11" "BT" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"4641" "2" "10" "SE11" "BT" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"5153" "3" "10" "SE11" "BT" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"5665" "4" "10" "SE11" "BT" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"6177" "5" "10" "SE11" "BT" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"6689" "6" "10" "SE11" "BT" 0 0 0 0 0 0 0 0 0 0 0 0 0.336403007088608 0 0.0738445625316455
"7201" "7" "10" "SE11" "BT" 0 0 0 0 0 0 0 0 0 0.194115668789809 0 0.0485289171974522 3.56155667848101 0 0.890389169620253
"7713" "8" "10" "SE11" "BT" 0 0 0 0 0 0 35.95424976 0 10.14094224 37.3150491271338 0 10.5247574461147 84.3675646359494 0 23.7959797691139
"8225" "9" "10" "SE11" "BT" 0 0 0 71.451552 0 22.563648 256.250444386242 0 80.9211929640764 257.495070162126 0 81.3142326827766 537.476290572616 0 169.729354917668
"545" "10" "10" "SE11" "BT" 0 0 0 1.43992779084967 0 0.505920575163399 2.68483474907456 0 0.943320317242413 2.6677338908002 0 0.937311907578449 5.56843171777758 0 1.95647600894888
"1057" "11" "10" "SE11" "BT" 282.0456 0 109.6844 0 0 0 0.916720069299363 0 0.356502249171975 0.910881087966246 0 0.354231534209096 1.90130625803669 0 0.73939687812538
"1569" "12" "10" "SE11" "BT" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"2081" "13" "10" "SE11" "BT" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"2593" "14" "10" "SE11" "BT" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
