"vol" "age" "ownership" "step0.nomgmt" "step0.thin" "step0.finalfell" "step1.nomgmt" "step1.thin" "step1.finalfell" "step2.nomgmt" "step2.thin" "step2.finalfell" "step3.nomgmt" "step3.thin" "step3.finalfell" "step4.nomgmt" "step4.thin" "step4.finalfell" "step5.nomgmt" "step5.thin" "step5.finalfell"
"736" "9" "7" "pub" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"144" "10" "7" "pub" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"72" "1" "8" "pub" 260.61473679324 48.86526320676 0 76.6193301291745 14.36612441628 0 111.083168087113 20.828094041067 0 174.716817568784 32.7594033330487 0 149.19277182467 27.9736447503444 0 21.8560026629437 4.09800050416832 0
"220" "2" "8" "pub" 733.33894723092 137.50105276908 0 220.564843920234 41.3559082841541 0 373.270574026318 69.9882327130456 0 513.95416410062 96.3664058833013 0 432.041874261449 81.0078515202185 0 62.9745068517988 11.8077200487339 0
"294" "3" "8" "pub" 395.77263150474 74.20736849526 0 269.915934466896 50.6092377726414 0 442.352934542165 82.9411753251485 0 534.863126316135 100.286836303366 0 439.330995167736 82.3745616917703 0 63.2759774010954 11.8642457767942 0
"368" "4" "8" "pub" 569.27999989326 106.74000010674 0 571.196225003183 107.099292315277 0 767.714295480955 143.946430573615 0 1031.12161499696 193.335303041515 0 852.300401230263 159.806325420444 0 121.600288462854 22.8000541138602 0
"442" "5" "8" "pub" 735.10736828322 137.83263171678 0 955.987803938782 179.247713451378 0 1371.0527114992 257.072383711374 0 2299.51409721623 431.158893740044 0 1946.8242757683 365.029552140028 0 272.875776710794 51.1642081940314 0
"516" "6" "8" "pub" 0 0 0 88.0958257948505 16.5179673561495 0 0 0 0 4.49761687113443 0.843303164339129 0 5.09566929954661 0.955437994799573 0 0.617241885180081 0.115732853608698 0
"590" "7" "8" "pub" 223.9157894317 41.9842105683 0 88.0958257948505 16.5179673561495 0 0 0 0 13.9211950950666 2.61022408342462 0 15.7723097567973 2.95730808291129 0 1.91051059942134 0.358220737816888 0
"664" "8" "8" "pub" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"738" "9" "8" "pub" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
