"vol" "age" "ownership" "step0.nomgmt" "step0.thin" "step0.finalfell" "step1.nomgmt" "step1.thin" "step1.finalfell" "step2.nomgmt" "step2.thin" "step2.finalfell" "step3.nomgmt" "step3.thin" "step3.finalfell" "step4.nomgmt" "step4.thin" "step4.finalfell" "step5.nomgmt" "step5.thin" "step5.finalfell"
"6" "1" "11" "pub" 0 0 0 26.515675698214 15.909405389496 6.62891891229 41.4583423775819 24.8750053805304 10.364585575221 117.03846773635 70.2230805118975 29.2596168799573 95.0026187340943 57.0015711350037 23.7506546395849 118.959492436421 71.3756953298075 29.7398730540864
"74" "2" "11" "pub" 153.96756769844 92.38054044816 38.4918918534 305.539099358807 183.323459276136 76.38477469839 140.167651770794 84.1005909068904 35.041912877871 312.714796070843 187.628877295393 78.1786988730802 281.196745054251 168.718046720422 70.2991861335094 296.347635689691 177.808581084869 74.0869087853621
"108" "3" "11" "pub" 152.64324337299 91.58594585436 38.16081077265 360.09198228806 216.055188973134 90.0229954054725 138.075952069317 82.8455710883256 34.518987953469 248.167286394818 148.900371561425 62.0418214839272 246.82375302485 148.094251540936 61.7059381420566 211.691202516794 127.014721275099 52.9228005312914
"142" "4" "11" "pub" 301.98378404047 181.19027008908 75.49594587045 359.330540845971 215.598324108726 89.8326350453025 167.964396539166 100.778637737059 41.991099057108 250.383458867292 150.23007504245 62.5958646010207 265.715200410311 159.429119951243 66.4287999796845 185.483055194006 111.289832910517 46.3707637127155
"176" "5" "11" "pub" 201.31351368463 120.78810798732 50.32837832805 364.159792409328 218.495875041379 91.0399479339081 175.016142024906 105.009685020675 43.7540354252814 241.974782196026 145.184869049023 60.4936954370931 261.336686769271 156.802011771479 65.3341715714495 169.939094496895 101.963456509504 42.4847735456268
"210" "6" "11" "pub" 664.56756813245 398.7405401418 166.14189172575 534.125426649433 320.47525539678 133.531356415325 241.238880693934 144.743328148585 60.3097200619104 211.853367622731 127.112020338481 52.9633418077004 243.241082823992 145.944649424398 60.810270593499 128.142078481285 76.8852469465334 32.0355195610556
"244" "7" "11" "pub" 109.32972982266 65.59783777224 27.3324324051 526.532263589816 315.919357569439 131.633065653933 356.020638867656 213.612382925411 89.0051595522545 247.089333595982 148.25359988332 61.7723332847168 295.809131609137 177.485478637134 73.9522827654725 162.786461961096 97.6718769959648 40.6966154149853
"278" "8" "11" "pub" 742.01081144152 445.20648604128 185.5027025172 558.918966914048 335.351379528029 139.729741470012 573.656346717954 344.193807394014 143.414086414172 399.93236184529 239.959416663249 99.9830902763538 500.071097832899 300.04265814466 125.017774226942 305.857811324687 183.51468645531 76.4644526897126
"312" "9" "11" "pub" 96.46486494686 57.87891886104 24.1162161921 385.527228126926 231.31633644822 96.3818068534251 421.366459504061 252.81987523472 105.341614681133 325.556496068567 195.333897279772 81.3891238665718 432.413743545718 259.448245647451 108.103435686438 290.705515157177 174.423308771623 72.6763786548429
"40" "10" "11" "pub" 255.88108129858 153.52864849512 63.9702702063 682.113081660877 409.267848239381 170.528270099742 585.197354010931 351.11841175699 146.299338232079 548.77073315114 329.262439281548 137.192683033978 779.730483627157 467.838289310793 194.932620546164 564.341708865118 338.605024692651 141.085426955271
