"vol" "age" "ownership" "step0" "step1" "step2" "step3" "step4" "step5"
"566" "9" "12" "pub" 0 0 119.856275 30.376300375 70.8153741699219 72.38029410649
"70" "10" "12" "pub" 0 0 112.7175 67.769230125 160.150993212891 164.679353652238
"10" "1" "13" "pub" 227.21 305.4825 154.5925 218.578077232143 298.501630422619 160.10827094328
"134" "2" "13" "pub" 0 73.8055 82.3444166666667 67.7357551289683 96.3169777908069 54.4888261579387
"196" "3" "13" "pub" 448.03 473.190333333333 560.29225 453.903409007936 680.216318118419 428.834166804762
"258" "4" "13" "pub" 823.17 241.1775 312.061319444444 283.845811921296 450.058923224923 338.76949370715
"320" "5" "13" "pub" 675.49 356.9975 443.731134259259 453.588051135361 705.352046928066 556.290984207156
"382" "6" "13" "pub" 661.01 395.6625 426.487222222222 625.282061127645 803.672759853574 860.047272363076
"444" "7" "13" "pub" 845.75 425.211666666667 477.308032407407 676.735809967482 662.526492343883 1036.74721516814
"506" "8" "13" "pub" 223.16 239.9925 252.913125 400.241318229167 309.183395911458 653.291246808166
"568" "9" "13" "pub" 0 0 0 59.035790625 19.86226640625 46.574639465332
"72" "10" "13" "pub" 0 0 0 143.573915625 70.689189 166.687884375
"12" "1" "14" "pub" 318.92 227.21 321.763124978292 172.756709534605 233.519787902434 319.748022554027
"136" "2" "14" "pub" 0 61.7688418294062 101.190684669231 117.358803527338 95.574872695138 140.698939182087
"198" "3" "14" "pub" 952.36 567.842775575544 482.725442732523 575.950709272745 473.735627435336 713.865668115917
"260" "4" "14" "pub" 211.06 263.531176485067 88.9086764592333 113.702043832407 107.096317624825 168.791194263412
"322" "5" "14" "pub" 385.62 168.0739705893 91.3816360265688 109.981832534628 122.865432439908 181.760109864061
"384" "6" "14" "pub" 644.7 1231.78754203343 566.871032004093 682.406069566483 764.683833360333 1103.58773349809
"446" "7" "14" "pub" 170.03 1209.67216400985 671.626425118296 740.450366583878 1070.4816300251 1136.39570080011
"508" "8" "14" "pub" 0 173.9335294774 187.052978011762 197.123465147916 324.97539312272 245.362558605698
"570" "9" "14" "pub" 0 0 0 0 77.6839064089594 31.0740875516869
"74" "10" "14" "pub" 0 0 0 0 111.903198985242 55.0959855649086
"14" "1" "15" "pub" 0 106.306666666667 80.8840701524505 115.686932048533 67.365470138813 85.8045020254062
"138" "2" "15" "pub" 211.06 119.045 94.1436626329703 98.2871870925268 116.003389981845 95.0575306900938
"200" "3" "15" "pub" 453.55 587.336666666667 419.833428205513 457.751468244327 404.197177897025 394.025134735142
"262" "4" "15" "pub" 639.18 596.256666666667 407.732208872325 286.023139559823 344.516358944428 291.730065431337
"324" "5" "15" "pub" 0 507.5925 485.279689261833 217.375099666424 264.997246183086 286.515755388241
"386" "6" "15" "pub" 0 171.045555555556 244.751557254532 118.459038508865 140.707211150463 164.289261781562
"448" "7" "15" "pub" 504.14 259.296722222222 735.151366643142 373.678781682841 430.664681054236 550.658028616135
"510" "8" "15" "pub" 811.65 335.810222222222 1338.2064066462 739.041053065044 830.396515504403 1146.90920145691
