vol age ownership area
3 5 priv 713.47
3 6 priv 810.32
3 7 priv 938.5
3 8 priv 896.36
3 9 priv 1568.54
3 10 priv 1050.75
3 11 priv 1652.02
3 12 priv 2109.89
3 13 priv 2349.43
3 14 priv 4477.88
3 15 priv 2434.31
3 16 priv 3063.45
3 17 priv 3046
3 18 priv 3720.03
3 19 priv 2625.94
3 20 priv 633.45
3 21 priv 784.02
3 22 priv 966.67
3 23 priv 2333.41
3 24 priv 1820.82
3 25 priv 1160.14
3 26 priv 432.9
3 27 priv 1248.21
3 28 priv 704.46
3 29 priv 0
3 30 priv 687.54
3 31 priv 0
3 32 priv 244.34
3 33 priv 745.43
3 34 priv 397.69
3 35 priv 227.35
3 36 priv 0
3 37 priv 418.72
4 1 priv 0
4 2 priv 285.44
4 3 priv 0
4 4 priv 225.04
4 5 priv 684.41
4 6 priv 0
4 7 priv 295.91
4 8 priv 419.14
4 9 priv 1207.81
4 10 priv 1165.16
4 11 priv 796.77
4 12 priv 2416.62
4 13 priv 3772.87
4 14 priv 4253.44
4 15 priv 2763.2
4 16 priv 5167.46
4 17 priv 2860.66
4 18 priv 4535.75
4 19 priv 2925.36
4 20 priv 3520.24
4 21 priv 2083.93
4 22 priv 2643.19
4 23 priv 1287.68
4 24 priv 1481.24
4 25 priv 1137.08
4 26 priv 1472.93
4 27 priv 2934.59
4 28 priv 2099.85
4 29 priv 151.15
4 30 priv 1255.63
4 31 priv 942.15
4 32 priv 635.16
4 33 priv 230.56
4 34 priv 346.37
4 35 priv 220.5
4 36 priv 0
4 37 priv 397.14
5 1 priv 0
5 2 priv 0
5 3 priv 0
5 4 priv 0
5 5 priv 0
5 6 priv 253
5 7 priv 0
5 8 priv 336.04
5 9 priv 434.4
5 10 priv 691.41
5 11 priv 1091
5 12 priv 2263.02
5 13 priv 3529.16
5 14 priv 2280.81
5 15 priv 2740.6
5 16 priv 3728.79
5 17 priv 5129.45
5 18 priv 3120.17
5 19 priv 2298.17
5 20 priv 2220.37
5 21 priv 2450.21
5 22 priv 4924.06
5 23 priv 2375.3
5 24 priv 2809.51
5 25 priv 2459.51
5 26 priv 1864.06
5 27 priv 669.79
5 28 priv 1958.76
5 29 priv 633.74
5 30 priv 840.81
5 31 priv 365.83
5 32 priv 869.96
5 33 priv 0
5 34 priv 0
5 35 priv 222.22
5 36 priv 453.29
5 37 priv 222.33
6 1 priv 0
6 2 priv 0
6 3 priv 0
6 4 priv 0
6 5 priv 0
6 6 priv 0
6 7 priv 0
6 8 priv 0
6 9 priv 653.62
6 10 priv 244.03
6 11 priv 439.98
6 12 priv 1243.53
6 13 priv 2063.82
6 14 priv 3839.3
6 15 priv 2811.3
6 16 priv 3705.79
6 17 priv 3274.76
6 18 priv 5273.74
6 19 priv 2724.6
6 20 priv 3408.65
6 21 priv 3329.56
6 22 priv 1677.13
6 23 priv 4097.06
6 24 priv 3068.92
6 25 priv 2804.97
6 26 priv 3694.18
6 27 priv 2145.82
6 28 priv 2141.24
6 29 priv 827.33
6 30 priv 1339.39
6 31 priv 1188.69
6 32 priv 538.45
6 33 priv 709.42
6 34 priv 0
6 35 priv 382.91
6 36 priv 186.21
6 37 priv 1239
7 1 priv 0
7 2 priv 0
7 3 priv 0
7 4 priv 0
7 5 priv 0
7 6 priv 740.17
7 7 priv 605.49
7 8 priv 266.66
7 9 priv 253.35
7 10 priv 221.17
7 11 priv 1455.61
7 12 priv 622.81
7 13 priv 739.46
7 14 priv 3188.21
7 15 priv 863.2
7 16 priv 2440.3
7 17 priv 2367.78
7 18 priv 4177.28
7 19 priv 1929.36
7 20 priv 3904.19
7 21 priv 2127.24
7 22 priv 3268.12
7 23 priv 2075.85
7 24 priv 2951.33
7 25 priv 2164.24
7 26 priv 1763.72
7 27 priv 1667.86
7 28 priv 1176.12
7 29 priv 1633.67
7 30 priv 2194.81
7 31 priv 838.67
7 32 priv 416.25
7 33 priv 1704.71
7 34 priv 0
7 35 priv 430.16
7 36 priv 270.73
7 37 priv 951.89
8 1 priv 0
8 2 priv 0
8 3 priv 0
8 4 priv 0
8 5 priv 0
8 6 priv 0
8 7 priv 309.32
8 8 priv 0
8 9 priv 0
8 10 priv 653.64
8 11 priv 689.67
8 12 priv 528.34
8 13 priv 1189.84
8 14 priv 1223.3
8 15 priv 1181.06
8 16 priv 1850.5
8 17 priv 1469.33
8 18 priv 2845.41
8 19 priv 2038.13
8 20 priv 1149.52
8 21 priv 2063.01
8 22 priv 2468.14
8 23 priv 1290.17
8 24 priv 1587.14
8 25 priv 3235.91
8 26 priv 1400.1
8 27 priv 1676.9
8 28 priv 2070.37
8 29 priv 877.04
8 30 priv 590.82
8 31 priv 438.93
8 32 priv 666.01
8 33 priv 488.17
8 34 priv 0
8 35 priv 269.78
8 36 priv 262.49
8 37 priv 706.97
9 1 priv 0
9 2 priv 0
9 3 priv 0
9 4 priv 0
9 5 priv 0
9 6 priv 0
9 7 priv 0
9 8 priv 0
9 9 priv 222.23
9 10 priv 0
9 11 priv 222.33
9 12 priv 485.04
9 13 priv 235.5
9 14 priv 1263.86
9 15 priv 1315.64
9 16 priv 895.4
9 17 priv 973.1
9 18 priv 1822.13
9 19 priv 2924.92
9 20 priv 2346.51
9 21 priv 892.02
9 22 priv 384.48
9 23 priv 1307.06
9 24 priv 2470.19
9 25 priv 893.35
9 26 priv 1921.71
9 27 priv 1055.18
9 28 priv 558.02
9 29 priv 442.57
