"vol" "age" "ownership" "step0" "step1" "step2" "step3" "step4" "step5"
"1" "1" "1" "priv" 0 6140.59312997135 7111.64318006647 8230.01253720953 8937.00893141786 9070.93986411604
"69" "2" "1" "priv" 0 0 0 0 0 0
"103" "3" "1" "priv" 0 0 0 0 0 0
"137" "4" "1" "priv" 0 0 0 0 0 0
"171" "5" "1" "priv" 0 0 0 0 0 0
"205" "6" "1" "priv" 0 0 0 0 0 0
"239" "7" "1" "priv" 0 0 0 0 0 0
"273" "8" "1" "priv" 0 0 0 0 0 0
"307" "9" "1" "priv" 0 0 0 0 0 0
"35" "10" "1" "priv" 0 0 0 0 0 0
"19" "1" "2" "priv" 8869.04 0 6140.59312997135 7111.64318006647 8230.01253720953 8937.00893141786
"87" "2" "2" "priv" 0 0 0 0 0 0
"121" "3" "2" "priv" 0 0 0 0 0 0
"155" "4" "2" "priv" 0 0 0 0 0 0
"189" "5" "2" "priv" 0 0 0 0 0 0
"223" "6" "2" "priv" 0 0 0 0 0 0
"257" "7" "2" "priv" 0 0 0 0 0 0
"291" "8" "2" "priv" 0 0 0 0 0 0
"325" "9" "2" "priv" 0 0 0 0 0 0
"53" "10" "2" "priv" 0 0 0 0 0 0
"21" "1" "3" "priv" 3296.79 7256.48727272727 0 5024.12165179474 5818.61714732711 6733.64662135325
"89" "2" "3" "priv" 432.62 1343.79393939394 0 930.392898480508 1077.52169394947 1246.9715965469
"123" "3" "3" "priv" 0 268.758787878788 0 186.078579696102 215.504338789893 249.39431930938
"157" "4" "3" "priv" 0 0 0 0 0 0
"191" "5" "3" "priv" 0 0 0 0 0 0
"225" "6" "3" "priv" 0 0 0 0 0 0
"259" "7" "3" "priv" 0 0 0 0 0 0
"293" "8" "3" "priv" 0 0 0 0 0 0
"327" "9" "3" "priv" 0 0 0 0 0 0
"55" "10" "3" "priv" 0 0 0 0 0 0
"23" "1" "4" "priv" 1862.2 1553.51255813953 3437.61240310078 0 2380.07485657804 2756.450844987
"91" "2" "4" "priv" 2120.53 1398.3572744186 3169.22862748414 0 2194.25592141175 2541.24720992566
