vol age ownership area
6 16 priv 222.33
6 17 priv 203.37
6 18 priv 222.33
6 19 priv 1246.11
6 20 priv 539.96
6 21 priv 711.96
6 22 priv 444.76
6 23 priv 749.45
6 24 priv 579.85
6 25 priv 667.76
6 26 priv 639.22
6 27 priv 452.06
6 28 priv 0
6 29 priv 0
6 30 priv 0
6 31 priv 1098.9
7 1 priv 0
7 2 priv 0
7 3 priv 0
7 4 priv 0
7 5 priv 0
7 6 priv 0
7 7 priv 0
7 8 priv 0
7 9 priv 0
7 10 priv 300.11
7 11 priv 0
7 12 priv 196.49
7 13 priv 0
7 14 priv 950.26
7 15 priv 417.93
7 16 priv 447.64
7 17 priv 969.99
7 18 priv 695.51
7 19 priv 148.59
7 20 priv 241.2
7 21 priv 618.29
7 22 priv 508.7
7 23 priv 0
7 24 priv 859.41
7 25 priv 0
7 26 priv 203.37
7 27 priv 232.84
7 28 priv 0
7 29 priv 0
7 30 priv 208.71
7 31 priv 842.5
8 1 priv 0
8 2 priv 0
8 3 priv 0
8 4 priv 0
8 5 priv 0
8 6 priv 0
8 7 priv 0
8 8 priv 0
8 9 priv 0
8 10 priv 180.43
8 11 priv 300.11
8 12 priv 0
8 13 priv 415.46
8 14 priv 0
8 15 priv 0
8 16 priv 0
8 17 priv 619.48
8 18 priv 232.84
8 19 priv 194.28
8 20 priv 0
8 21 priv 634.85
8 22 priv 497.6
8 23 priv 666.5
8 24 priv 483.84
8 25 priv 0
8 26 priv 395.77
8 27 priv 500.55
8 28 priv 0
8 29 priv 472.71
8 30 priv 0
8 31 priv 1007.11
9 1 priv 0
9 2 priv 0
9 3 priv 0
9 4 priv 0
9 5 priv 0
9 6 priv 0
9 7 priv 0
9 8 priv 0
9 9 priv 0
9 10 priv 0
9 11 priv 0
9 12 priv 0
9 13 priv 0
9 14 priv 0
9 15 priv 204.13
9 16 priv 260.33
9 17 priv 253
9 18 priv 655.76
9 19 priv 402.67
9 20 priv 244.86
9 21 priv 453.77
9 22 priv 0
9 23 priv 0
9 24 priv 0
9 25 priv 0
9 26 priv 380.25
9 27 priv 0
9 28 priv 281.41
9 29 priv 0
9 30 priv 347.01
9 31 priv 181.32
10 1 priv 0
10 2 priv 0
10 3 priv 0
10 4 priv 0
10 5 priv 0
10 6 priv 0
10 7 priv 0
10 8 priv 0
10 9 priv 0
10 10 priv 270.09
10 11 priv 390.87
10 12 priv 249.84
10 13 priv 203.23
10 14 priv 0
10 15 priv 191.33
10 16 priv 179.62
10 17 priv 0
10 18 priv 638.01
10 19 priv 410.75
10 20 priv 707.31
10 21 priv 316.22
10 22 priv 419.3
10 23 priv 520.65
10 24 priv 443.28
10 25 priv 406.6
10 26 priv 812.25
10 27 priv 899.67
10 28 priv 431.62
10 29 priv 230.27
10 30 priv 347.01
10 31 priv 719.82
