"vol" "age" "ownership" "step0" "step1" "step2" "step3" "step4" "step5" "step6" "step7" "step8" "step9" "step10" "step11" "step12" "step13" "step14" "step15" "step16" "step17" "step18" "step19" "step20"
"220" "2" "8" "pub" 870.84 261.920752204388 443.258806739363 610.320569983921 513.049725781667 74.7822269005327 1111.33634962973 0 799.600783085187 837.553840152689 878.740268788149 909.280534415957 914.732891817144 913.59617569581 920.540497089718 935.743195424748 943.274783636273 945.758294376405 936.496582484134 923.231057999996 906.717575870167
"294" "3" "8" "pub" 469.98 320.525172239537 525.294109867313 635.149962619501 521.705556859506 75.1402231778895 1131.00144598083 0 806.578726750678 844.862991965737 886.408845685414 917.215629627847 922.715568576719 921.568932578834 928.573855568572 943.909224574754 951.50653933303 954.011723136025 944.669186280601 931.287896423915 914.630304695321
"368" "4" "8" "pub" 676.02 678.29551731846 911.66072605457 1224.45691803847 1012.10672665071 144.400342576714 2199.30113541973 0 1554.22324810183 1627.99446603793 1708.05054682931 1767.41315858013 1778.01117300077 1775.80168214027 1789.29970012752 1818.8499302999 1833.48944759542 1838.31676919249 1820.3143256673 1794.52947529239 1762.43141038772
"442" "5" "8" "pub" 872.94 1135.23551739016 1628.12509521057 2730.67299095627 2311.85382790832 324.039984904825 5060.07271136908 0 3503.44290364769 3669.73384691295 3850.19177564677 3984.00364671126 4007.89309660854 4002.9125861926 4033.33906153229 4099.94953356391 4132.94911264268 4143.83059032842 4103.25049149535 4045.12772748579 3972.77406925269
"516" "6" "8" "pub" 0 104.613793151 0 5.34092003547356 6.05110729434619 0.732974738788779 15.2371790770174 0 8.06553688463134 8.4483676523569 8.8638132926473 9.17187156884997 9.22686925101555 9.21540324698214 9.28545030237044 9.43879923193752 9.5147700211175 9.53982108147367 9.44639861308424 9.31258986841547 9.14601912207636
"590" "7" "8" "pub" 265.9 104.613793151 0 16.5314191784912 18.7296178397086 2.26873133723823 47.1626972032685 0 24.9647570556821 26.149709433486 27.4356126074526 28.389126320724 28.5593572419296 28.5238672294 28.7406795439735 29.2153309932386 29.4504786743335 29.5280176707729 29.2388528872942 28.8246829627914 28.3091068425132
"664" "8" "8" "pub" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"738" "9" "8" "pub" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"146" "10" "8" "pub" 241.1 0 0 22.3809982860353 25.3570210907247 3.0715131968989 63.8510362525022 0 33.7984403421016 35.4026835622582 37.1435986296106 38.434509503748 38.6649759818282 38.6169279648358 38.9104584832062 39.5530635226022 39.8714173064321 39.9763931785984 39.5849085484198 39.0241861887519 38.3261754408736
"74" "1" "9" "pub" 221.74 335.23578957681 99.2560221222064 151.424621130919 227.88197008885 193.630701071425 28.3212924118845 419.408704283366 0 302.467363970956 316.82397963303 332.403692365024 343.956249384509 346.01872881856 345.588739833961 348.215588920425 353.966358789483 356.815355039919 357.754800026531 354.251344750882 349.233355390081
"222" "2" "9" "pub" 0 434.763789482742 141.554973384552 232.959573450893 321.657056857878 270.310141405096 39.3759318553987 585.579447366257 0 421.103480123006 441.091159913371 462.781669476544 478.865460803173 481.736902058715 481.138259430129 484.79543181906 492.80181364305 496.768265494797 498.076186944745 493.1985790281 486.212394616957
