"vol" "age" "ownership" "step0.nomgmt" "step0.thin" "step0.finalfell" "step1.nomgmt" "step1.thin" "step1.finalfell" "step2.nomgmt" "step2.thin" "step2.finalfell" "step3.nomgmt" "step3.thin" "step3.finalfell" "step4.nomgmt" "step4.thin" "step4.finalfell" "step5.nomgmt" "step5.thin" "step5.finalfell" "step6.nomgmt" "step6.thin" "step6.finalfell" "step7.nomgmt" "step7.thin" "step7.finalfell" "step8.nomgmt" "step8.thin" "step8.finalfell" "step9.nomgmt" "step9.thin" "step9.finalfell" "step10.nomgmt" "step10.thin" "step10.finalfell" "step11.nomgmt" "step11.thin" "step11.finalfell" "step12.nomgmt" "step12.thin" "step12.finalfell" "step13.nomgmt" "step13.thin" "step13.finalfell" "step14.nomgmt" "step14.thin" "step14.finalfell" "step15.nomgmt" "step15.thin" "step15.finalfell" "step16.nomgmt" "step16.thin" "step16.finalfell" "step17.nomgmt" "step17.thin" "step17.finalfell" "step18.nomgmt" "step18.thin" "step18.finalfell" "step19.nomgmt" "step19.thin" "step19.finalfell" "step20.nomgmt" "step20.thin" "step20.finalfell"
"564" "7" "3" "pub" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"638" "8" "3" "pub" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"712" "9" "3" "pub" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"120" "10" "3" "pub" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"64" "1" "4" "pub" 2941.30619063518 397.47380936482 0 433.215638815519 58.5426538674076 0 6371.20005822107 860.972980449757 0 0 0 0 4611.82250794661 623.219257547648 0 4830.72269730604 652.800364204409 0 5068.27186261584 684.901602745212 0 5244.41761859866 708.705083272623 0 5275.86494220825 712.954721596314 0 5269.30875428997 712.068750256407 0 5309.36121344749 717.481244734696 0 5397.04515254081 729.330425687873 0 5440.48476486895 735.200643567388 0 5454.80880127856 737.136324162403 0 5401.39043017331 729.917625367674 0 5324.87944407896 719.578302927186 0 5229.63535455084 706.707480023825 0 5139.35364646328 694.507249206721 0 5023.70169636117 678.878607308127 0 4862.97924764214 657.159357491092 0 4630.37897376426 625.726888062408 0
"212" "2" "4" "pub" 844.99190480758 114.18809519242 0 111.797584210457 15.1077816432019 0 1830.51750544459 247.367230353167 0 0 0 0 1264.10065135206 170.824412267309 0 1324.10119809329 178.932594255687 0 1389.21342955468 187.731544449176 0 1437.49498516249 194.25607898781 0 1446.11469725889 195.420904946253 0 1444.31764600559 195.178060182404 0 1455.29602594585 196.661625038522 0 1479.33019558919 199.909485799662 0 1491.23699428837 201.518512650172 0 1495.16321298482 202.049082744045 0 1480.52123628429 200.070437244873 0 1459.5495733049 197.23642873543 0 1433.44316626029 193.708535893166 0 1408.69694807821 190.364452356566 0 1376.99674599925 186.08064126676 0 1332.94271925331 180.127394411902 0 1269.18697904278 171.511753846825 0
"286" "3" "4" "pub" 253.76714287086 34.29285712914 0 27.9493960526141 3.77694541080049 0 514.57927711928 69.5377401196801 0 0 0 0 297.536935996556 40.2076940353322 0 311.659528858454 42.1161525293167 0 326.985281459086 44.1872001771104 0 338.349523780559 45.7229085982337 0 340.378383368274 45.9970788126654 0 339.955403502578 45.9399193713811 0 342.539433125644 46.2891125635288 0 348.196461454246 47.0535758508305 0 350.999017088319 47.4322995849928 0 351.923148469584 47.557182204026 0 348.476801946665 47.0914597011403 0 343.540609295417 46.4244066404636 0 337.395829325861 45.594030969279 0 331.571202997631 44.8069193036594 0 324.109786862011 43.7986198263308 0 313.740596622073 42.3973779026511 0 298.73412733963 40.3694766491876 0
"360" "4" "4" "pub" 0 0 0 0 0 0 103.534112072759 13.9910962196958 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"434" "5" "4" "pub" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"508" "6" "4" "pub" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
