"vol" "age" "ownership" "step0.nomgmt" "step0.thin" "step0.finalfell" "step1.nomgmt" "step1.thin" "step1.finalfell" "step2.nomgmt" "step2.thin" "step2.finalfell" "step3.nomgmt" "step3.thin" "step3.finalfell" "step4.nomgmt" "step4.thin" "step4.finalfell" "step5.nomgmt" "step5.thin" "step5.finalfell"
"310" "4" "9" "pub" 744.807 319.203 0 658.133091145833 282.0570390625 0 679.612048958333 291.262306696429 0 469.843501640596 201.361500703113 0 375.402826114888 160.886925477809 0 206.832925622693 88.6426824097257 0
"372" "5" "9" "pub" 435.771 186.759 0 944.646764322917 404.84861328125 0 909.106353489583 389.617008638393 0 582.774200004583 249.760371430535 0 547.762951302492 234.755550558211 0 256.621144539536 109.980490516944 0
"434" "6" "9" "pub" 184.814 79.206 0 537.01484375 230.14921875 0 597.445360625 256.048011696429 0 343.417696804204 147.179012916088 0 510.602864436851 218.829799044365 0 138.645489722729 59.4194955954554 0
"496" "7" "9" "pub" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"558" "8" "9" "pub" 140.028 60.012 0 313.4796875 134.3484375 0 314.4771575 134.775924642857 0 181.385824034318 77.7367817289935 0 243.940719354882 104.546022580664 0 79.0465265027212 33.8770827868805 0
"620" "9" "9" "pub" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"124" "10" "9" "pub" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"4" "1" "10" "pub" 148.5842 54.9558 0 230.81651 85.37049 0 127.069345813802 46.9982511914062 0 386.406086390501 142.917319623884 0 402.878145065183 149.009724887122 0 271.218009964346 100.313510534758 0
"128" "2" "10" "pub" 178.412 65.988 0 147.491633333333 54.5517 0 73.851976219618 27.3151144921875 0 156.816701459863 58.0006978002232 0 153.919514126378 56.9291353618111 0 104.600894487521 38.6880020707269 0
"190" "3" "10" "pub" 380.3665 140.6835 0 637.564723333333 235.81161 0 293.45439945204 108.537928564453 0 402.747325148851 148.961339438616 0 342.134973580068 126.543072420025 0 243.761180085857 90.1582446892897 0
"252" "4" "10" "pub" 712.3048 263.4552 0 1317.60790333333 487.33443 0 1069.43104368381 395.542988759766 0 1183.28453719446 437.653184989732 0 867.445800921994 320.836118149231 0 689.17679505722 254.901006391027 0
"314" "5" "10" "pub" 377.8188 139.7412 0 187.966605 69.521895 0 428.800533821614 158.597457714844 0 425.281343292894 157.295839300112 0 266.432922716045 98.5436837442905 0 279.806353876603 103.490021296826 0
"376" "6" "10" "pub" 316.8565 117.1935 0 221.69516 81.99684 0 526.80574280599 194.845959667969 0 534.315121606957 197.623401142299 0 329.106652382812 121.724378278574 0 372.991376636328 137.955714646313 0
"438" "7" "10" "pub" 135.4734 50.1066 0 84.980614 31.431186 0 235.24016171875 87.00663515625 0 257.422126623839 95.2109235458036 0 148.046599598401 54.7569614952989 0 216.897484113004 80.2223571376866 0
"500" "8" "10" "pub" 0 0 0 135.948995 50.282505 0 326.845380859375 120.888017578125 0 338.602103289062 125.236394367188 0 195.08538121182 72.1548670235497 0 271.261747888789 100.329687575306 0
"562" "9" "10" "pub" 219.4234 81.1566 0 17.523504 6.481296 0 39.22974375 14.50963125 0 39.3545699957143 14.5557998614286 0 22.6991402648661 8.3955724267313 0 30.5274385935538 11.2909704387117 0
"66" "10" "10" "pub" 0 0 0 8.761752 3.240648 0 19.614871875 7.254815625 0 19.6772849978571 7.27789993071429 0 11.349570132433 4.19778621336565 0 15.2637192967769 5.64548521935584 0
"6" "1" "11" "pub" 0 0 0 101.073 33.691 0 139.0270125 46.3423375 0 75.5185168115234 25.1728389371745 0 220.246538930478 73.415512976826 0 228.306376992793 76.1021256642645 0
"130" "2" "11" "pub" 196.425 65.475 0 203.639410714286 67.8798035714286 0 262.231626428571 87.4105421428571 0 134.143843349261 44.7146144497535 0 318.532337790703 106.177445930234 0 318.455065525566 106.151688508522 0
"192" "3" "11" "pub" 715.845 238.615 0 309.810744642857 103.270248214286 0 503.973591785714 167.991197261905 0 297.457571604585 99.152523868195 0 380.674057208785 126.891352402928 0 308.713285087002 102.904428362334 0
"254" "4" "11" "pub" 221.25 73.75 0 787.889819642857 262.629939880952 0 1263.09615220238 421.032050734127 0 1046.22960060062 348.743200200208 0 1176.00921204507 392.00307068169 0 867.462625654391 289.154208551464 0
"316" "5" "11" "pub" 587.175 195.725 0 222.8319625 74.2773208333333 0 314.970218958333 104.990072986111 0 250.205158739149 83.4017195797164 0 287.963220589045 95.9877401963483 0 214.262435556652 71.4208118522174 0
"378" "6" "11" "pub" 0 0 0 277.3703875 92.4567958333333 0 164.517878375 54.8392927916667 0 387.320529549154 129.106843183051 0 390.970790451388 130.323596817129 0 241.52489134251 80.5082971141699 0
"440" "7" "11" "pub" 311.6025 103.8675 0 408.839675 136.279891666667 0 295.5013735 98.5004578333333 0 729.913946826172 243.304648942057 0 757.483099428449 252.49436647615 0 454.122232154173 151.374077384724 0
"502" "8" "11" "pub" 0 0 0 30.433725 10.144575 0 53.411359125 17.803786375 0 128.008129541016 42.6693765136719 0 132.434213681434 44.1447378938114 0 76.3053576144566 25.4351192048189 0
"564" "9" "11" "pub" 0 0 0 82.283775 27.427925 0 7.786557 2.595519 0 17.431709765625 5.810569921875 0 17.4871762224107 5.82905874080357 0 10.0863474293369 3.36211580977897 0
"68" "10" "11" "pub" 0 0 0 112.7175 37.5725 0 67.769230125 22.589743375 0 160.150993212891 53.3836644042969 0 164.679353652238 54.8931178840792 0 94.9038826431182 31.6346275477061 0
"8" "1" "12" "pub" 150.8025 50.2675 0 29.46375 9.82125 0 91.1897116071429 30.3965705357143 0 122.750951464286 40.9169838214286 0 65.4326865893031 21.8108955297677 0 179.927774026892 59.9759246756308 0
"132" "2" "12" "pub" 313.2375 104.4125 0 345.9225 115.3075 0 290.975385267857 96.9917950892857 0 404.501085410714 134.833695136905 0 218.594066472627 72.8646888242091 0 454.019616996485 151.339872332162 0
"194" "3" "12" "pub" 167.37 55.79 0 197.39875 65.7995833333333 0 143.110171130952 47.7033903769841 0 231.25141062996 77.0838035433201 0 161.550192951198 53.8500643170661 0 193.169281972619 64.3897606575396 0
"256" "4" "12" "pub" 298.7475 99.5825 0 446.919375 148.973125 0 393.991234821429 131.330411607143 0 633.513599408482 211.171199802827 0 464.304300924939 154.768100308313 0 545.338182975415 181.779394325138 0
"318" "5" "12" "pub" 473.4975 157.8325 0 428.678125 142.892708333333 0 549.316854613095 183.105618204365 0 822.721679500496 274.240559833499 0 707.057660810996 235.685886936999 0 792.856032648024 264.285344216008 0
"380" "6" "12" "pub" 0 0 0 78.08875 26.0295833333333 0 211.18346235119 70.3944874503968 0 236.765362200645 78.9217874002149 0 298.860209645345 99.6200698817818 0 319.865908262061 106.621969420687 0
"442" "7" "12" "pub" 479.985 159.995 0 505.82625 168.60875 0 639.296611458333 213.098870486111 0 505.166604916667 168.388868305556 0 1036.99208247131 345.664027490438 0 1079.81101298278 359.937004327593 0
"504" "8" "12" "pub" 0 0 0 0 0 0 43.3962375 14.4654125 0 42.00515859375 14.00171953125 0 100.364024597168 33.4546748657226 0 103.697454316678 34.5658181055594 0
"566" "9" "12" "pub" 0 0 0 0 0 0 89.89220625 29.96406875 0 22.78222528125 7.59407509375 0 53.1115306274414 17.7038435424805 0 54.2852205798675 18.0950735266225 0
"70" "10" "12" "pub" 0 0 0 0 0 0 84.538125 28.179375 0 50.82692259375 16.94230753125 0 120.113244909668 40.0377483032226 0 123.509515239178 41.1698384130594 0
"10" "1" "13" "pub" 177.09014712565 50.11985287435 0 238.096654501613 67.3858454983875 0 120.491213280762 34.1012867192375 0 170.362324965811 48.2157522663321 0 232.655682623071 65.8459477995478 0 124.790270047 35.3180008962799 0
"134" "2" "13" "pub" 0 0 0 57.5248750217075 16.2806249782925 0 64.1802071320621 18.1642095346046 0 52.794044458677 14.9417106702913 0 75.0705856593986 21.2463921314083 0 42.4692321685371 12.0195939894015 0
"196" "3" "13" "pub" 349.19985307295 98.83014692705 0 368.810112884272 104.380220449062 0 436.698371488321 123.593878511679 0 353.777657154393 100.125751853544 0 530.168601086479 150.047717031941 0 334.238394841604 94.5957719631581 0
"258" "4" "13" "pub" 641.58838259505 181.58161740495 0 187.976580953288 53.2009190467125 0 243.224263776423 68.8370556680212 0 221.232765257436 62.6130466638607 0 350.781219704737 99.2777035201862 0 264.040929018446 74.7285646887038 0
"320" "5" "13" "pub" 526.48485313985 149.00514686015 0 278.248051575588 78.7494484244125 0 345.849266538461 97.881867720798 0 353.531863518322 100.056187617039 0 549.759683842567 155.592363085499 0 433.579737854487 122.711246352669 0
"382" "6" "13" "pub" 515.19897078265 145.81102921735 0 308.384007469313 87.2784925306875 0 332.409158622169 94.0780636000528 0 487.352194886336 137.929866241309 0 626.392004239895 177.280755613679 0 670.330962535941 189.716309827135 0
"444" "7" "13" "pub" 659.18750024875 186.56249975125 0 331.414975615258 93.7966910514083 0 372.019495987335 105.288536420073 0 527.45585208546 149.279957882022 0 516.380942757005 146.145549586878 0 808.052976833033 228.694238335105 0
"506" "8" "13" "pub" 173.9335294774 49.2264705226 0 187.052978011762 52.9395219882375 0 197.123465147916 55.7896598520844 0 311.952792266921 88.2885259622452 0 240.981176316044 68.2022195954148 0 509.182883733804 144.108363074363 0
"568" "9" "13" "pub" 0 0 0 0 0 0 0 0 0 46.0131897692017 13.0226008557983 0 15.4808841165955 4.38138228965448 0 36.3008219499131 10.2738175154189 0
"72" "10" "13" "pub" 0 0 0 0 0 0 0 0 0 111.903198985242 31.6707166397577 0 55.0959855649086 15.5932034350914 0 129.918498164835 36.7693862101653 0
"12" "1" "14" "pub" 239.19 79.73 0 170.4075 56.8025 0 241.322343733719 80.4407812445731 0 129.567532150953 43.1891773836511 0 175.139840926826 58.3799469756085 0 239.81101691552 79.9370056385068 0
"136" "2" "14" "pub" 0 0 0 46.3266313720547 15.4422104573516 0 75.893013501923 25.2976711673077 0 88.0191026455035 29.3397008818345 0 71.6811545213535 23.8937181737845 0 105.524204386565 35.1747347955217 0
"198" "3" "14" "pub" 714.27 238.09 0 425.882081681658 141.960693893886 0 362.044082049392 120.681360683131 0 431.963031954559 143.987677318186 0 355.301720576502 118.433906858834 0 535.399251086938 178.466417028979 0
"260" "4" "14" "pub" 158.295 52.765 0 197.6483823638 65.8827941212667 0 66.681507344425 22.2271691148083 0 85.2765328743053 28.4255109581018 0 80.3222382186187 26.7740794062062 0 126.593395697559 42.197798565853 0
"322" "5" "14" "pub" 289.215 96.405 0 126.055477941975 42.018492647325 0 68.5362270199266 22.8454090066422 0 82.4863744009714 27.4954581336571 0 92.149074329931 30.716358109977 0 136.320082398046 45.4400274660153 0
"384" "6" "14" "pub" 483.525 161.175 0 923.840656525075 307.946885508358 0 425.15327400307 141.717758001023 0 511.804552174862 170.601517391621 0 573.51287502025 191.170958340083 0 827.690800123564 275.896933374521 0
"446" "7" "14" "pub" 127.5225 42.5075 0 907.254123007388 302.418041002463 0 503.719818838722 167.906606279574 0 555.337774937908 185.112591645969 0 802.861222518828 267.620407506276 0 852.296775600086 284.098925200029 0
"508" "8" "14" "pub" 0 0 0 130.45014710805 43.48338236935 0 140.289733508822 46.7632445029406 0 147.842598860937 49.2808662869789 0 243.73154484204 81.2438482806799 0 184.021918954273 61.3406396514245 0
"570" "9" "14" "pub" 0 0 0 0 0 0 0 0 0 0 0 0 58.2629298067195 19.4209766022398 0 23.3055656637652 7.76852188792173 0
"74" "10" "14" "pub" 0 0 0 0 0 0 0 0 0 0 0 0 83.9273992389318 27.9757997463106 0 41.3219891736814 13.7739963912271 0
"14" "1" "15" "pub" 0 0 0 65.71684846552 40.5898182011467 0 50.0010615340814 30.8830086183691 0 71.5155579726048 44.1713740759286 0 41.6441088008361 25.7213613379769 0 53.0427830546503 32.7617189707559 0
"138" "2" "15" "pub" 130.47345450708 80.58654549292 0 73.59145452381 45.45354547619 0 58.1979005196283 35.9457621133421 0 60.7593520029644 37.5278350895625 0 71.7111865131399 44.292203468705 0 58.762837136593 36.2946935535008 0
"200" "3" "15" "pub" 280.3763635539 173.1736364461 0 363.08084837806 224.255818288607 0 259.533391905256 160.300036300256 0 282.973634831447 174.77783341288 0 249.867346262852 154.329831634172 0 243.579174128265 150.445960606877 0
"262" "4" "15" "pub" 395.12945442924 244.05054557076 0 368.59503019462 227.661636472047 0 252.052638137849 155.679570734475 0 176.814304403159 109.208835156664 0 212.973749103007 131.542609841421 0 180.342222213603 111.387843217734 0
"324" "5" "15" "pub" 0 0 0 313.784454453165 193.808045546835 0 299.991080546355 185.288608715478 0 134.377334299721 82.9977653667028 0 163.816479410454 101.180766772632 0 177.118830551546 109.396924836695 0
"386" "6" "15" "pub" 0 0 0 105.737252494153 65.3083030614022 0 151.300962621938 93.4505946325943 0 73.2292237839419 45.2298147249227 0 86.9826395947029 53.7245715557598 0 101.560634526004 62.7286272555581 0
"448" "7" "15" "pub" 311.65018172652 192.48981827348 0 160.292519144774 99.0042030774479 0 454.457208336642 280.6941583065 0 231.001428608724 142.677353074117 0 266.229075482498 164.435605571738 0 340.406781226219 210.251247389917 0
"510" "8" "15" "pub" 501.7472725797 309.9027274203 0 207.591773676317 128.218448545905 0 827.254869319793 510.951537326404 0 456.861741760384 282.179311304661 0 513.336027615377 317.060487889026 0 708.998415237561 437.910786219349 0
"572" "9" "15" "pub" 149.35890904698 92.25109095302 0 0 0 0 20.1604772744054 12.452059502607 0 21.6811406268048 13.3912927504007 0 22.8484016354247 14.1122480798095 0 93.9802406465297 58.0466192675703 0
"76" "10" "15" "pub" 138.57163632288 85.58836367712 0 0 0 0 40.3209545488109 24.9041190052141 0 43.3622812536095 26.7825855008014 0 45.6968032708493 28.2244961596191 0 133.220444300389 82.2832156606825 0
"16" "1" "16" "pub" 0 0 0 39.9095272994067 13.8148363625399 0 75.157438409011 26.0160363528935 0 57.8585836094239 20.0279712344378 0 75.8777894544108 26.2653886376531 0 55.2971336067382 19.1413154649405 0
"140" "2" "16" "pub" 170.20342860416 58.91657139584 0 132.737968882574 45.9477584249898 0 148.207706270392 51.3026675167684 0 110.085668353419 38.1065774784542 0 125.424135041343 43.416046712611 0 111.606659274231 38.6330743352646 0
"202" "3" "16" "pub" 523.4171429578 181.1828570422 0 502.357480657536 173.892973943714 0 549.466261610358 190.199859645957 0 389.600291711824 134.86163933785 0 378.820789504189 131.130273191844 0 367.291202774237 127.139262403692 0
"264" "4" "16" "pub" 173.12285717615 59.92714282385 0 125.796316128195 43.544878627194 0 179.050775168447 61.9791144350336 0 139.235172494366 48.1967904427744 0 82.7156793712097 28.6323505301595 0 100.016539767397 34.6211098935916 0
"326" "5" "16" "pub" 407.03371436399 140.89628563601 0 125.796316128195 43.544878627194 0 219.281026994056 75.9049708257914 0 180.988166603019 62.6497499311145 0 101.776029883613 35.230164164134 0 123.102528853965 42.6124138021966 0
"388" "6" "16" "pub" 516.08514295639 178.64485704361 0 89.5962508624737 31.0140868138158 0 351.762986922997 121.764110766898 0 403.899909257651 139.811506946165 0 195.396577144718 67.6372766533574 0 234.110727542681 81.0383287041686 0
"450" "7" "16" "pub" 204.8800000394 70.9199999606 0 249.236630410199 86.2742181543939 0 172.836579554009 59.8280467239521 0 452.994035092047 156.805627414593 0 233.998487991353 80.9994765518148 0 268.94549906424 93.0965188372288 0
"512" "8" "16" "pub" 0 0 0 220.627963640296 76.3712181260641 0 77.1055159517459 26.6903708864128 0 311.891145051156 107.962319360044 0 174.665412851881 60.4611044035113 0 195.909359581601 67.8147782659919 0
"574" "9" "16" "pub" 166.51885717488 57.64114282512 0 702.976902286526 243.338158301814 0 219.987138073655 76.1493938916235 0 823.474890714192 285.049000418658 0 464.813690178624 160.897046479964 0 522.716438914283 180.940305642703 0
"78" "10" "16" "pub" 0 0 0 102.93892985965 35.6327064632303 0 0 0 0 29.9527090991625 10.3682454496484 0 32.2119803660188 11.1503008875907 0 33.9461967220162 11.7506065488331 0
